GroupingVariable	TargetField	SourceField	MatchValue	QuantificationType	QuantificationSourceField	QuantificationScoreType	ScopeField	ScopeMatchValue	EffectorDifferentiationScoreField	EffectorDifferentiationCutpointLow	EffectorDifferentiationCutpointHigh	SubsetPhenotypeOutputFieldName
cDNA_ID	TNK__CD4plus_T_Cells__PctPositive__TIGIT	RIRA_TNK_v2.cellclass	CD4+ T Cells	pct_positive	TIGIT		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD8plus_T_Cells__PctPositive__TIGIT	RIRA_TNK_v2.cellclass	CD8+ T Cells	pct_positive	TIGIT		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__NK_Cells__PctPositive__TIGIT	RIRA_TNK_v2.cellclass	NK Cells	pct_positive	TIGIT		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Gamma_Delta_Cells__PctPositive__TIGIT	RIRA_TNK_v2.cellclass	Gamma/Delta Cells	pct_positive	TIGIT		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD4plus_T_Cells__PctPositive__PRF1	RIRA_TNK_v2.cellclass	CD4+ T Cells	pct_positive	PRF1		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD8plus_T_Cells__PctPositive__PRF1	RIRA_TNK_v2.cellclass	CD8+ T Cells	pct_positive	PRF1		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__NK_Cells__PctPositive__PRF1	RIRA_TNK_v2.cellclass	NK Cells	pct_positive	PRF1		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Gamma_Delta_Cells__PctPositive__PRF1	RIRA_TNK_v2.cellclass	Gamma/Delta Cells	pct_positive	PRF1		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD4plus_T_Cells__PctPositive__GZMB	RIRA_TNK_v2.cellclass	CD4+ T Cells	pct_positive	GZMB		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD8plus_T_Cells__PctPositive__GZMB	RIRA_TNK_v2.cellclass	CD8+ T Cells	pct_positive	GZMB		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__NK_Cells__PctPositive__GZMB	RIRA_TNK_v2.cellclass	NK Cells	pct_positive	GZMB		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Gamma_Delta_Cells__PctPositive__GZMB	RIRA_TNK_v2.cellclass	Gamma/Delta Cells	pct_positive	GZMB		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD4plus_T_Cells__PctPositive__KLRC1	RIRA_TNK_v2.cellclass	CD4+ T Cells	pct_positive	KLRC1		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD8plus_T_Cells__PctPositive__KLRC1	RIRA_TNK_v2.cellclass	CD8+ T Cells	pct_positive	KLRC1		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__NK_Cells__PctPositive__KLRC1	RIRA_TNK_v2.cellclass	NK Cells	pct_positive	KLRC1		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Gamma_Delta_Cells__PctPositive__KLRC1	RIRA_TNK_v2.cellclass	Gamma/Delta Cells	pct_positive	KLRC1		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__NK_Cells__PctPositive__FCGR3	RIRA_TNK_v2.cellclass	NK Cells	pct_positive	FCGR3		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__NK_Cells__PctPositive__FCGR3A	RIRA_TNK_v2.cellclass	NK Cells	pct_positive	FCGR3A		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD4plus_T_Cells__PctPositive__FOXP3	RIRA_TNK_v2.cellclass	CD4+ T Cells	pct_positive	FOXP3		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD4plus_T_Cells__PctPositive__IL2RA	RIRA_TNK_v2.cellclass	CD4+ T Cells	pct_positive	IL2RA		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD4plus_T_Cells__Diversity	RIRA_TNK_v2.cellclass	CD4+ T Cells	diversity			RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD8plus_T_Cells__Diversity	RIRA_TNK_v2.cellclass	CD8+ T Cells	diversity			RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	Myeloid__fine__Alv_mac	RIRA_Myeloid_v3.cellclass	Alv. mac.	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__fine__CD14plus_Monocytes	RIRA_Myeloid_v3.cellclass	CD14+ Monocytes	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__fine__CD16plus_Monocytes	RIRA_Myeloid_v3.cellclass	CD16+ Monocytes	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__fine__DC	RIRA_Myeloid_v3.cellclass	DC	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__fine__Inflammatory_Monocytes	RIRA_Myeloid_v3.cellclass	Inflammatory Monocytes	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__fine__MacrophageM1	RIRA_Myeloid_v3.cellclass	MacrophageM1	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__fine__Macrophages	RIRA_Myeloid_v3.cellclass	Macrophages	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__fine__Mature_DC	RIRA_Myeloid_v3.cellclass	Mature DC	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__fine__Myelocytes	RIRA_Myeloid_v3.cellclass	Myelocytes	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__fine__Promyelocytes	RIRA_Myeloid_v3.cellclass	Promyelocytes	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__fine__pDC	RIRA_Myeloid_v3.cellclass	pDC	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__fine__Unassigned	RIRA_Myeloid_v3.cellclass	Unassigned	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__fine__Ambiguous	RIRA_Myeloid_v3.cellclass	Ambiguous	sum			RIRA_Immune_v2.cellclass	Myeloid				
cDNA_ID	Myeloid__fine__Unknown	RIRA_Myeloid_v3.cellclass	Unknown	sum			RIRA_Immune_v2.cellclass	Myeloid				
